Id,Bound
0,1
1,0
2,1
3,0
4,1
5,0
6,1
7,1
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,1
38,1
39,1
40,0
41,0
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,0
75,1
76,1
77,0
78,1
79,0
80,0
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,0
90,0
91,1
92,0
93,1
94,1
95,1
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,1
113,0
114,0
115,0
116,1
117,1
118,1
119,0
120,1
121,1
122,0
123,1
124,1
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,1
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,1
159,1
160,0
161,1
162,1
163,0
164,1
165,0
166,1
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,0
175,1
176,1
177,1
178,1
179,0
180,0
181,1
182,1
183,0
184,1
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,1
211,0
212,1
213,0
214,1
215,0
216,1
217,0
218,0
219,0
220,1
221,0
222,0
223,1
224,1
225,1
226,0
227,1
228,0
229,0
230,1
231,1
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,1
278,1
279,0
280,0
281,1
282,0
283,1
284,0
285,0
286,1
287,0
288,0
289,1
290,0
291,1
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,1
325,0
326,1
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,1
335,1
336,0
337,0
338,1
339,1
340,1
341,0
342,1
343,1
344,1
345,0
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,0
358,0
359,0
360,1
361,0
362,1
363,1
364,1
365,0
366,1
367,0
368,1
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,0
378,1
379,1
380,1
381,1
382,0
383,1
384,0
385,0
386,0
387,1
388,1
389,1
390,1
391,1
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,1
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,0
427,0
428,0
429,1
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,1
438,1
439,1
440,1
441,0
442,1
443,0
444,0
445,0
446,0
447,1
448,1
449,1
450,0
451,0
452,1
453,1
454,0
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,0
468,1
469,0
470,1
471,0
472,1
473,0
474,0
475,1
476,0
477,0
478,0
479,1
480,1
481,1
482,0
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,1
505,1
506,1
507,0
508,1
509,1
510,0
511,0
512,0
513,0
514,1
515,0
516,0
517,1
518,0
519,0
520,0
521,1
522,1
523,0
524,0
525,0
526,1
527,1
528,0
529,1
530,0
531,0
532,1
533,0
534,1
535,1
536,0
537,0
538,1
539,1
540,0
541,0
542,1
543,1
544,1
545,1
546,0
547,0
548,1
549,0
550,1
551,1
552,1
553,1
554,0
555,1
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,1
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,0
573,1
574,0
575,1
576,1
577,1
578,0
579,1
580,0
581,0
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,1
591,1
592,0
593,1
594,1
595,1
596,0
597,1
598,1
599,1
600,0
601,1
602,0
603,1
604,0
605,0
606,1
607,0
608,1
609,0
610,1
611,0
612,0
613,0
614,1
615,0
616,0
617,1
618,1
619,0
620,0
621,1
622,1
623,0
624,1
625,1
626,0
627,0
628,1
629,0
630,1
631,0
632,0
633,1
634,0
635,0
636,1
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,1
651,1
652,1
653,0
654,1
655,1
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,1
664,0
665,0
666,0
667,1
668,0
669,1
670,0
671,1
672,0
673,0
674,1
675,1
676,1
677,0
678,0
679,1
680,1
681,1
682,1
683,0
684,1
685,1
686,0
687,0
688,0
689,0
690,1
691,1
692,1
693,1
694,1
695,1
696,1
697,1
698,1
699,0
700,1
701,1
702,1
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,1
711,1
712,1
713,0
714,0
715,1
716,1
717,0
718,1
719,1
720,1
721,0
722,1
723,0
724,1
725,0
726,1
727,1
728,0
729,1
730,1
731,1
732,0
733,1
734,0
735,1
736,1
737,0
738,0
739,1
740,1
741,0
742,1
743,1
744,1
745,0
746,0
747,1
748,1
749,0
750,1
751,0
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,1
760,1
761,1
762,1
763,0
764,1
765,0
766,1
767,1
768,0
769,0
770,0
771,1
772,1
773,0
774,0
775,1
776,1
777,0
778,0
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,1
787,1
788,0
789,0
790,1
791,1
792,0
793,1
794,1
795,0
796,0
797,0
798,1
799,1
800,0
801,0
802,1
803,1
804,0
805,1
806,1
807,1
808,0
809,0
810,0
811,1
812,1
813,1
814,0
815,0
816,1
817,0
818,0
819,0
820,0
821,1
822,0
823,0
824,1
825,1
826,1
827,0
828,0
829,1
830,0
831,1
832,0
833,1
834,0
835,0
836,0
837,1
838,1
839,1
840,1
841,1
842,0
843,1
844,0
845,0
846,1
847,0
848,1
849,1
850,0
851,1
852,0
853,0
854,0
855,1
856,0
857,1
858,1
859,0
860,0
861,0
862,0
863,0
864,1
865,1
866,1
867,1
868,0
869,0
870,0
871,0
872,0
873,1
874,0
875,0
876,0
877,1
878,1
879,0
880,0
881,1
882,1
883,0
884,0
885,1
886,1
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,1
897,1
898,0
899,0
900,1
901,1
902,1
903,1
904,0
905,1
906,0
907,1
908,0
909,0
910,1
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,1
924,0
925,1
926,0
927,1
928,0
929,1
930,1
931,0
932,0
933,0
934,0
935,1
936,0
937,1
938,1
939,0
940,1
941,0
942,1
943,1
944,0
945,0
946,1
947,1
948,0
949,0
950,1
951,0
952,0
953,1
954,1
955,1
956,1
957,0
958,0
959,0
960,0
961,0
962,1
963,1
964,0
965,0
966,1
967,0
968,1
969,1
970,0
971,0
972,0
973,0
974,1
975,0
976,0
977,0
978,1
979,1
980,0
981,0
982,0
983,0
984,1
985,0
986,1
987,1
988,0
989,1
990,0
991,1
992,0
993,1
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,1
1003,1
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,1
1012,0
1013,1
1014,1
1015,1
1016,0
1017,0
1018,0
1019,1
1020,1
1021,1
1022,0
1023,1
1024,1
1025,1
1026,0
1027,1
1028,1
1029,1
1030,0
1031,1
1032,0
1033,0
1034,1
1035,0
1036,1
1037,0
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,0
1047,0
1048,0
1049,0
1050,1
1051,1
1052,1
1053,0
1054,1
1055,0
1056,1
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,1
1064,1
1065,0
1066,0
1067,0
1068,1
1069,1
1070,1
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,1
1078,1
1079,1
1080,0
1081,0
1082,1
1083,0
1084,1
1085,1
1086,1
1087,0
1088,0
1089,1
1090,0
1091,1
1092,1
1093,1
1094,1
1095,1
1096,0
1097,0
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,1
1105,0
1106,0
1107,0
1108,0
1109,1
1110,1
1111,0
1112,1
1113,1
1114,0
1115,1
1116,0
1117,0
1118,1
1119,1
1120,1
1121,0
1122,1
1123,0
1124,0
1125,0
1126,1
1127,1
1128,0
1129,0
1130,1
1131,1
1132,0
1133,0
1134,0
1135,1
1136,0
1137,1
1138,1
1139,0
1140,1
1141,1
1142,0
1143,1
1144,0
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,0
1152,1
1153,1
1154,0
1155,0
1156,0
1157,1
1158,0
1159,1
1160,1
1161,0
1162,1
1163,1
1164,1
1165,0
1166,1
1167,0
1168,1
1169,0
1170,1
1171,0
1172,1
1173,0
1174,1
1175,1
1176,0
1177,1
1178,0
1179,0
1180,0
1181,0
1182,1
1183,0
1184,1
1185,0
1186,1
1187,0
1188,1
1189,0
1190,1
1191,1
1192,1
1193,0
1194,0
1195,1
1196,1
1197,1
1198,0
1199,1
1200,0
1201,0
1202,1
1203,1
1204,1
1205,1
1206,0
1207,1
1208,1
1209,0
1210,1
1211,0
1212,1
1213,1
1214,0
1215,0
1216,1
1217,0
1218,1
1219,1
1220,0
1221,0
1222,0
1223,1
1224,0
1225,1
1226,0
1227,1
1228,1
1229,0
